GET http://127.0.0.1/ name=http://127.0.0.1/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=2967 notes=4 sig=0xb86c6ce5
GET http://127.0.0.1/icons/ name=icons type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=290 notes=0 sig=0x272ba8aa
GET http://127.0.0.1/icons/small/ name=small type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=296 notes=0 sig=0xb348e1d
GET http://127.0.0.1/icons/small/back.gif name=back.gif type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=129 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/back.png name=back.png type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=181 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/binary.gif name=binary.gif type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=134 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/binary.png name=binary.png type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=172 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/binhex.gif name=binhex.gif type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=131 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/binhex.png name=binhex.png type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=178 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/blank.gif name=blank.gif type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=55 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/blank.png name=blank.png type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=100 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/broken.gif name=broken.gif type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=139 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/broken.png name=broken.png type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=184 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/burst.gif name=burst.gif type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=128 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/burst.png name=burst.png type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=185 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/comp1.gif name=comp1.gif type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=130 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/comp1.png name=comp1.png type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=190 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/comp2.gif name=comp2.gif type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=131 notes=0 sig=0xfff7ffff
GET http://127.0.0.1/icons/small/comp2.png name=comp2.png type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=189 notes=0 sig=0xfff7ffff
